year,name,mileage,transmission,price,city
2015,Mitsubishi Pajero Sport,182500,Automatic,275000888,Jawa Timur
2020,Honda Brio,12500,Automatic,178000000,Jawa Timur
2018,Lexus LX570,47500,Automatic,2650000000,DKI Jakarta
2018,Honda Jazz,22500,Manual,223500000,Jawa Timur
2018,Toyota Calya,12500,Automatic,125000000,Kalimantan Barat
2016,Toyota Calya,42500,Automatic,105000000,Jawa Timur
2019,Mazda CX-3,23000,Automatic,325000000,Jawa Timur
2019,Daihatsu Sigra,12500,Manual,104500000,Banten
2014,Honda CR-V,122500,Automatic,210000000,DKI Jakarta
2016,Toyota Etios Valco,25000,Manual,108000001,Jawa Timur
2006,Toyota Camry,43000,Automatic,100000000,DKI Jakarta
2016,Toyota Etios Valco,25000,Manual,107000001,Jawa Timur
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2018,Mitsubishi Xpander,23000,Automatic,205000000,DKI Jakarta
1982,Toyota Corolla,193000,Manual,95000000,Banten
2016,Hyundai H-1,50000,Automatic,350000000,Banten
2016,Toyota Calya,36000,Automatic,90000000,DKI Jakarta
2017,Nissan Grand Livina,20000,Manual,139000000,Jawa Barat
2017,Daihatsu Terios,38897,Manual,158000000,Jawa Barat
2008,Honda CR-V,66318,Automatic,135000000,Jawa Barat
2009,Nissan X-Trail,39205,Automatic,127000000,Jawa Barat
2017,Toyota Kijang Innova,35639,Automatic,268000000,Jawa Barat
2011,Honda Jazz,42500,Automatic,147000000,Jawa Barat
2011,Toyota Rush,73500,Automatic,125000000,Jawa Barat
2008,Toyota Kijang Innova,63334,Manual,129000000,Jawa Barat
2013,Toyota Fortuner,50620,Automatic,268000000,Jawa Barat
2012,Daihatsu Terios,37500,Manual,105000000,DKI Jakarta
2004,Honda CR-V,61000,Automatic,98000000,Jawa Barat
2016,Toyota Etios Valco,67500,Manual,108000888,Jawa Timur
2016,BMW X5,3750,Automatic,740000000,DKI Jakarta
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2010,Mitsubishi Pajero Sport,61500,Automatic,200000000,DKI Jakarta
2013,Suzuki Ertiga,67500,Manual,1150008882,Jawa Timur
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2013,Toyota Camry Hybrid,52500,Automatic,225000000,DKI Jakarta
2013,Toyota Camry,40000,Automatic,199000001,Jawa Timur
2013,Toyota Camry,40000,Automatic,199000001,Jawa Timur
2016,Honda BR-V,27500,Automatic,157000000,DKI Jakarta
2013,Toyota Camry,40000,Automatic,199000001,Jawa Timur
2015,Toyota Kijang Innova,67500,Automatic,165000888,Jawa Timur
2013,Toyota Camry,40000,Automatic,199000001,Jawa Timur
2013,Toyota Camry,40000,Automatic,199000001,Jawa Timur
2016,Toyota Sienta,20000,Automatic,168000001,Jawa Timur
2016,Chevrolet Trax,15500,Automatic,168000000,DKI Jakarta
2013,Volkswagen Golf,36000,Automatic,215000000,Banten
2016,Toyota Camry,35000,Automatic,272000000,Banten
2014,Lexus RX270,40000,Automatic,405000000,Banten
2004,Mercedes-Benz E260,50000,Automatic,150000000,DKI Jakarta
2013,Toyota Kijang Innova,82500,Automatic,203000000,DKI Jakarta
2012,BMW X3,23000,Automatic,325000000,DKI Jakarta
2018,Honda Brio,15000,Manual,115000000,Banten
2014,Honda Jazz,40000,Automatic,149000000,Banten
2018,Mazda CX-5,14000,Automatic,425000000,Banten
2015,Mitsubishi Pajero Sport,34500,Automatic,295000000,Banten
2016,Toyota Sienta,20000,Automatic,169000001,Jawa Timur
2009,Toyota Harrier,40000,Automatic,189000000,Banten
2019,Toyota Kijang Innova,8500,Automatic,274000000,Banten
2012,Volkswagen Golf,15000,Automatic,145000000,Banten
2016,Toyota Sienta,20000,Automatic,168000001,Jawa Timur
2014,BMW 520i,62500,Automatic,390000000,DKI Jakarta
2006,Toyota Camry,117500,Automatic,99000000,DKI Jakarta
2013,BMW 520i,47500,Automatic,320000000,DKI Jakarta
2018,BMW 320i,12500,Automatic,525000000,DKI Jakarta
2016,BMW 320i,12500,Automatic,440000000,DKI Jakarta
2012,Mercedes-Benz C200,42500,Automatic,265000000,DKI Jakarta
2016,Mercedes-Benz C250,17500,Automatic,600000000,DKI Jakarta
2016,Mercedes-Benz CLA200,22500,Automatic,535000000,DKI Jakarta
2016,Mercedes-Benz C200,27500,Automatic,505000000,DKI Jakarta
2018,BMW X1,7500,Automatic,535000000,DKI Jakarta
2016,Toyota Sienta,20000,Automatic,168000001,Jawa Timur
